City,Temperature (DegF),Cloudiness (%),Latitude,Longitude,Humidity (%),Wind Speed (mps)
Umluj,301.95,0,25.02,37.27,36,3.24
São Filipe,297.24,23,14.9,-24.5,84,3.85
Rongcheng,303.71,100,30.63,117.85,95,1.12
Taikang,294.41,77,46.83,124.42,51,10.22
Severo-Kuril'sk,277.95,100,50.68,156.12,92,9.86
Semme,283.73,6,46.2,1.5,100,3.1
Kavieng,303.25,60,-2.57,150.8,67,3.32
Yunhe,304.73,70,34.08,119.72,54,1.72
Longyearbyen,275.15,75,78.22,15.64,89,3.1
Hilo,298.34,75,19.73,-155.09,61,5.7
Beringovskiy,280.22,0,63.05,179.32,75,4.14
Saskylakh,283.19,83,71.92,114.08,46,3.28
San-Pédro,297.95,100,4.75,-6.64,89,2.57
Batagay-Alyta,291.15,92,67.8,130.41,48,3.05
Vardø,282.04,100,70.37,31.11,69,4.16
Cidreira,284.33,64,-30.18,-50.21,61,6.98
Bambous Virieux,294.99,75,-20.34,57.76,94,1.5
Tiksi,273.55,100,71.69,128.87,95,1.96
Ancud,280.78,90,-41.87,-73.82,93,4.6
Tevriz,284.21,2,57.51,72.4,61,4.7
Port Alfred,284.82,80,-33.59,26.89,65,1.79
Carballo,286.05,99,43.21,-8.69,87,0.89
Cabo San Lucas,300.94,75,22.89,-109.91,33,5.1
Esperance,288.15,30,-33.87,121.9,77,8.2
Sangar,291.8,100,63.92,127.47,58,2.5
Saint-Pierre,289.68,40,-21.34,55.48,68,3.6
Ginir,286.36,46,7.13,40.7,94,2.46
Dourbali,303.11,10,11.81,15.86,50,5.08
Dubti,304.69,100,11.74,41.09,29,1.75
Kruisfontein,282.24,33,-34.0,24.73,50,2.4
Goderich,283.33,100,43.75,-81.72,76,5.04
Filingué,306.07,31,14.35,3.32,34,3.45
Quatre Cocos,294.98,75,-20.21,57.76,94,1.5
Stara Vyzhivka,287.94,100,51.44,24.44,83,5.16
Bengkulu,301.81,2,-3.8,102.27,62,1.15
George Town,302.57,20,5.41,100.34,79,4.6
George Town,302.57,20,5.41,100.34,79,4.6
Bagotville,292.95,75,-28.98,153.42,94,3.6
Malbork,285.93,0,54.04,19.03,100,4.2
Sumter,297.77,97,28.71,-82.08,92,1.63
Namtsy,296.15,0,62.72,129.67,33,3.0
La Asuncion,301.15,0,11.03,-63.86,78,7.7
Mbandaka,294.68,99,0.05,18.26,90,0.82
Tambopata,295.67,1,-12.73,-69.18,89,0.91
Capão da Canoa,285.34,100,-29.75,-50.01,60,7.83
Bethel,285.73,2,41.37,-73.41,63,0.45
Mahébourg,295.15,75,-20.41,57.7,94,1.5
Baruun-Urt,294.34,0,46.68,113.28,35,6.34
Clyde River,270.15,40,70.47,-68.59,100,5.7
Lucapa,288.91,0,-8.42,20.74,50,2.11
Calabar,297.29,98,4.95,8.32,96,0.84
Kamina,286.58,0,-8.74,24.99,55,2.22
Luau,285.57,0,-10.71,22.22,56,1.57
Katsuura,295.2,90,35.13,140.3,94,0.5
Bredasdorp,286.15,0,-34.53,20.04,71,3.09
Hasaki,294.19,75,35.73,140.83,100,1.5
Hong Kong,300.82,69,22.29,114.16,83,5.81
Mola di Bari,291.35,0,41.06,17.09,72,0.5
Port Elizabeth,282.15,74,-33.92,25.57,87,2.1
Avera,295.04,1,33.19,-82.53,78,2.97
Omboué,295.17,21,-1.57,9.26,92,3.32
Zambezi,283.1,0,-13.54,23.1,72,1.95
Saint George,302.23,1,37.1,-113.58,5,9.3
Nemuro,299.15,40,43.32,145.57,47,4.6
Udachny,279.15,90,66.42,112.4,100,3.0
Ilulissat,276.15,100,69.22,-51.1,86,4.1
El Alto,290.31,15,-4.27,-81.21,87,5.39
Kamenka,291.48,100,51.32,42.77,73,7.38
Upernavik,273.67,0,72.79,-56.15,92,2.64
Bubaque,300.25,92,11.28,-15.83,83,6.06
Fort Nelson,287.15,90,58.81,-122.7,87,1.0
Stornoway,285.24,0,58.21,-6.39,93,1.0
Yerbogachën,289.6,99,61.28,108.01,46,2.52
Rocha,279.14,10,-34.48,-54.33,66,4.75
Beyneu,304.46,0,45.32,55.2,17,1.3
Aberdeen,284.45,90,57.14,-2.1,100,1.5
Aksarka,282.35,89,66.56,67.8,58,8.17
Saint-Philippe,289.31,40,-21.36,55.77,68,3.6
Butaritari,301.84,95,3.07,172.79,67,4.33
Airai,295.62,1,-8.93,125.41,58,2.73
Anapskaya,288.93,20,44.89,37.38,100,1.0
Ossora,287.55,100,59.24,163.07,53,3.16
Asău,289.26,11,46.43,26.4,89,2.23
Jos,292.96,76,9.92,8.9,87,1.44
Cap Malheureux,294.82,4,-19.98,57.61,89,1.34
Nantucket,287.54,1,41.28,-70.1,82,4.1
Te Anau,284.32,19,-45.42,167.72,63,2.15
Te Anau,284.32,19,-45.42,167.72,63,2.15
Nishihara,304.05,40,26.18,127.76,66,6.2
Pontalina,292.92,36,-17.52,-49.45,58,1.3
Buala,303.42,49,-8.14,159.59,69,3.55
Inhambane,289.69,37,-23.86,35.38,76,3.62
Mier,300.37,5,26.43,-99.15,61,7.73
Luganville,301.15,40,-15.53,167.17,74,5.1
Zabid,303.47,64,14.2,43.32,60,2.88
Nipawin,298.15,1,53.37,-104.0,38,7.2
Ust'-Kut,295.24,2,56.79,105.77,70,4.0
Qaanaaq,278.28,0,77.48,-69.36,66,2.82
Alofi,298.15,86,-19.06,-169.92,53,7.2
Ciudad del Carmen,300.08,0,18.63,-91.83,79,3.86
Cockburn Town,301.04,100,21.46,-71.14,78,4.54
Saint-Louis,302.44,100,16.33,-15.0,41,4.58
Lüderitz,284.15,0,-26.65,15.16,40,1.0
Flin Flon,291.22,99,54.77,-101.86,48,6.02
Tautira,302.09,20,-17.73,-149.15,70,2.1
Dikson,274.84,100,73.51,80.55,87,3.68
Port Hardy,287.15,20,50.7,-127.42,67,6.7
Tasiilaq,277.15,100,65.61,-37.64,86,6.7
Lebu,281.26,93,-37.62,-73.65,75,2.67
Sisophon,303.39,100,13.59,102.97,72,1.92
Banda Aceh,302.75,64,5.56,95.32,69,3.38
Faanui,300.45,33,-16.48,-151.75,75,3.9
Manadhoo,302.15,89,5.77,73.38,78,6.98
Ostrovnoy,288.67,43,68.05,39.51,56,8.41
Chokwé,284.21,0,-24.53,32.98,91,2.64
Senftenberg,291.48,100,51.52,14.02,87,2.24
Kefamenanu,300.19,0,-9.45,124.48,62,4.56
Mayo,292.59,1,38.89,-76.51,43,3.1
Boa Vista,300.15,75,2.82,-60.67,78,2.1
Taltal,287.15,22,-25.4,-70.48,74,0.35
Iqaluit,276.04,90,63.75,-68.51,74,2.6
Harrison,299.1,40,30.41,-89.04,74,2.6
Los Barrios,292.15,61,36.18,-5.49,72,7.2
Assiniboia,294.12,67,49.63,-105.98,72,4.99
Port Blair,302.47,95,11.67,92.75,78,6.08
Dwārka,303.57,26,22.24,68.97,77,5.28
Kieta,302.32,74,-6.22,155.63,73,1.98
Chengde,301.04,0,40.97,117.94,23,4.17
Sørland,284.15,100,67.67,12.69,73,3.01
Talnakh,287.15,99,69.49,88.4,44,10.0
Roald,287.41,99,62.58,6.13,87,2.6
Awjilah,294.04,0,29.11,21.29,38,2.83
Yumen,299.8,100,40.28,97.2,18,4.79
Zyryanovsk,293.25,100,49.74,84.27,65,0.41
Key Largo,300.93,54,25.09,-80.45,1,3.13
Port Moresby,304.15,75,-9.44,147.18,74,5.1
Ponca City,300.26,1,36.71,-97.09,37,4.6
Broken Hill,286.15,0,-31.95,141.43,62,5.7
Broken Hill,286.15,0,-31.95,141.43,62,5.7
Acaraú,298.62,90,-2.89,-40.12,82,3.81
Bethanien,276.46,0,-26.5,17.16,58,1.59
Belmonte,296.15,20,-15.86,-38.88,88,1.0
Khatanga,284.62,0,71.97,102.5,42,5.62
Sinnamary,297.95,8,5.38,-52.95,87,1.08
Mach,304.92,0,29.86,67.33,11,0.93
Geraldton,291.15,20,-28.77,114.6,59,5.1
Kathu,301.15,40,7.92,98.33,83,4.19
Kirksville,295.24,1,40.19,-92.58,64,2.1
Talcahuano,278.15,4,-36.72,-73.12,100,1.5
Santa Cruz de Barahona,299.65,94,18.21,-71.1,81,2.06
Bariloche,273.15,40,-41.15,-71.31,93,2.1
Nālūt,300.88,0,30.33,10.85,18,4.04
General Pico,277.98,0,-35.66,-63.76,61,2.99
Shahr-e Bābak,297.88,0,30.12,55.12,19,3.45
Voh,299.31,8,-20.97,164.7,58,3.81
Mudgee,288.97,9,-32.59,149.59,63,7.2
Necochea,275.37,0,-38.55,-58.74,77,3.58
Aykhal,279.15,90,66.0,111.5,100,3.0
Alice Springs,286.0,90,-23.7,133.88,51,5.1
Saldanha,280.15,0,-33.01,17.94,81,0.5
Mayumba,295.09,11,-3.43,10.66,90,2.49
Odesa,291.15,40,46.48,30.73,100,2.93
Yarmouth,287.52,1,41.71,-70.23,71,2.1
Pangnirtung,273.88,47,66.15,-65.71,90,0.79
Laas,283.15,97,46.62,10.7,81,2.1
Shuyskoye,282.71,92,59.37,41.03,73,2.23
Fīrozpur Jhirka,311.07,0,27.8,76.95,29,2.77
Notsé,295.74,87,6.95,1.17,96,1.5
Tuatapere,282.59,11,-46.13,167.68,64,1.79
Tucupita,296.2,100,9.06,-62.05,95,1.32
Presidencia Roque Sáenz Peña,281.48,48,-26.79,-60.44,53,1.79
Kanhangad,301.33,100,12.31,75.11,80,4.71
Marsh Harbour,298.73,75,26.54,-77.06,74,7.54
Laela,282.69,0,-8.57,32.05,94,2.17
Mirny,287.15,75,62.54,113.96,67,3.0
Vestmanna,282.15,81,62.16,-7.17,93,1.0
Jodhpur,307.22,0,26.29,73.03,48,4.03
Caravelas,294.91,0,-17.71,-39.25,91,1.73
Vila Franca do Campo,286.15,20,37.72,-25.43,82,2.6
Genhe,290.99,20,50.78,121.52,35,5.26
Miraflores,291.04,5,19.22,-98.81,45,8.7
Portlethen,284.49,90,57.05,-2.13,100,1.5
Soyo,294.52,1,-6.13,12.37,89,3.19
Biak,301.71,36,-0.91,122.88,71,2.7
San Rafael,280.04,49,-34.62,-68.33,52,2.29
Pandan,302.78,98,14.05,124.17,74,3.91
Perth,290.57,75,-31.93,115.83,77,3.6
Zhigansk,287.51,100,66.77,123.37,71,9.29
Lorengau,303.35,1,-2.02,147.27,69,4.76
Lorengau,303.35,1,-2.02,147.27,69,4.76
Cuevas,304.54,26,8.02,126.09,66,0.78
Inyonga,286.66,0,-6.72,32.07,74,2.18
Kaitangata,280.93,0,-46.28,169.85,56,3.13
Sur,307.44,84,22.57,59.53,39,1.53
Inírida,296.99,100,3.87,-67.92,92,0.68
Mnogovershinnyy,277.92,100,53.94,139.92,98,1.97
Channagiri,298.41,100,14.03,75.93,72,8.66
Hualmay,289.73,34,-11.1,-77.61,85,3.43
San Miguel de Cozumel,299.3,40,20.51,-86.95,94,2.61
Vila Velha,294.79,0,-20.33,-40.29,88,2.1
Puerto Nariño,298.15,25,-3.77,-70.38,100,0.7
Keetmanshoop,279.15,0,-26.58,18.13,28,4.6
College,290.16,75,64.86,-147.8,45,4.1
Dubki,296.03,2,43.02,46.84,64,3.0
Guerrero Negro,291.34,0,27.98,-114.06,74,8.74
Pangai,296.39,100,-19.8,-174.35,69,10.44
Vaitape,300.91,32,-16.52,-151.75,74,3.8
Provost,291.88,100,52.35,-110.27,63,6.18
Torbay,290.07,75,47.67,-52.73,93,5.1
Yangi Marg`ilon,299.15,0,40.43,71.72,26,0.98
Juegang,297.52,100,32.32,121.19,98,1.22
Ati,302.3,0,13.22,18.34,53,5.79
Loreto,292.44,0,22.27,-101.97,39,7.8
Mugumu,289.07,96,-1.85,34.7,96,2.26
Santa Cruz del Sur,300.67,100,20.71,-78.0,74,3.14
Yenagoa,297.01,99,4.92,6.26,97,1.38
Emerald,293.15,75,-23.53,148.17,100,3.6
Naze,303.15,40,28.37,129.48,84,6.2
Escanaba,283.39,1,45.75,-87.06,71,2.0
Caucaia,299.41,40,-3.74,-38.65,83,2.1
Ambulu,301.64,97,-8.35,113.61,77,1.53
Pedernales,300.06,79,18.04,-71.74,75,2.46
Bandarbeyla,300.82,100,9.49,50.81,60,11.83
Ntungamo,290.8,100,-0.88,29.65,88,1.27
Adrar,306.92,0,20.5,-10.07,20,8.67
Tsabong,277.41,0,-26.02,22.4,64,4.02
Marmaris,292.78,50,36.85,28.27,82,2.1
Lata,285.74,98,40.16,-8.33,90,0.31
Pak Phanang,305.15,20,8.35,100.2,70,1.0
Bansko,286.0,100,41.84,23.49,76,1.76
Amānganj,304.51,82,24.43,80.03,58,3.73
Ouésso,294.04,79,1.61,16.05,92,0.62
Zaysan,298.17,1,47.47,84.87,29,2.29
Markova,290.34,99,48.68,24.41,96,1.65
Lavrentiya,281.56,89,65.58,-171.0,74,3.56
Port-Gentil,296.52,39,-0.72,8.78,88,6.26
Shamary,282.08,0,57.34,58.22,54,2.99
Port Macquarie,291.0,100,-31.43,152.92,93,3.1
Tanout,305.11,21,14.97,8.89,28,5.65
Buchanan,296.15,75,5.88,-10.05,94,2.6
Buchanan,296.15,75,5.88,-10.05,94,2.6
Maceió,295.15,90,-9.67,-35.74,100,6.2
Ha Tinh,305.37,100,18.33,105.9,62,2.09
Choma,282.77,14,-16.81,26.95,91,2.33
Kuybysheve,290.61,2,47.36,36.65,94,3.54
San Juan,282.07,0,-31.54,-68.54,48,2.63
Krasnosel'kup,282.83,100,65.7,82.47,86,8.26
Kamyshlov,282.23,0,56.84,62.71,63,3.86
Daru,300.88,98,-9.08,143.21,82,6.18
Yar-Sale,281.18,99,66.83,70.83,59,9.31
Dzitbalché,296.63,17,20.32,-90.05,94,0.94
Fortuna,288.54,90,40.6,-124.16,67,3.6
Ampanihy,285.87,0,-24.7,44.75,83,2.83
Coahuayana Viejo,299.61,90,18.73,-103.68,82,0.75
Lázaro Cárdenas,299.73,92,17.96,-102.2,84,1.85
Arucas,292.86,20,28.12,-15.52,72,3.6
Krasnoarmeysk,289.82,100,51.02,45.7,63,2.24
Nangomba,289.96,12,-10.9,38.5,83,2.16
Yalutorovsk,284.05,0,56.65,66.3,61,5.25
Carroll,289.44,100,39.55,-77.02,46,3.37
Altenstadt,289.26,70,50.28,8.95,95,3.3
Nanortalik,277.26,100,60.14,-45.24,90,3.78
San Carlos,296.43,100,9.66,-68.58,92,1.08
Los Llanos de Aridane,293.15,54,28.66,-17.92,72,3.1
Norman Wells,295.15,75,65.28,-126.83,33,6.7
Ankpa,295.69,97,7.37,7.63,96,3.08
San Cristobal,292.74,100,7.77,-72.22,88,1.66
Provideniya,282.03,85,64.38,-173.3,76,2.62
Viedma,278.76,35,-40.81,-63.0,63,4.44
Baoro,290.71,99,5.67,15.97,94,0.96
Saint Paul Harbor,286.15,40,57.79,-152.41,66,7.2
Qasigiannguit,276.15,100,68.82,-51.19,86,4.1
Maracás,289.06,0,-13.44,-40.43,87,2.8
Chokurdakh,293.57,3,70.63,147.92,34,1.78
Pantai Remis,302.09,20,4.46,100.63,83,2.6
Bosaso,305.2,98,11.28,49.18,47,3.87
Nosy Varika,290.03,19,-20.58,48.53,87,2.83
Borogontsy,296.13,15,62.67,131.17,37,3.88
Two Hills,292.42,91,53.72,-111.75,88,6.4
Mago,280.67,100,53.25,140.18,90,1.7
Bani Walid,297.01,0,31.76,13.99,30,3.96
Matagami,279.15,1,49.75,-77.63,75,2.05
Kiruna,287.15,79,67.86,20.23,50,1.55
Iturama,294.27,0,-19.73,-50.2,59,2.13
Chui,278.97,1,-33.7,-53.46,65,4.77
Nouadhibou,302.15,41,20.93,-17.03,39,9.3
Praia da Vitória,288.15,20,38.73,-27.07,77,2.48
Colares,288.96,70,38.8,-9.45,88,2.24
Rock Springs,294.15,1,41.59,-109.2,14,4.6
Pisco,291.37,90,-13.7,-76.22,77,3.1
Moose Factory,283.15,1,51.26,-80.61,53,2.6
Moose Factory,283.15,1,51.26,-80.61,53,2.6
Samsun Province,288.15,75,41.25,36.33,93,0.5
Petropavlovsk-Kamchatskiy,289.15,32,53.05,158.65,41,9.0
Salalah,302.15,75,17.02,54.09,89,2.1
Barguzin,294.96,27,53.62,109.62,45,3.11
Tromsø,286.15,37,69.65,18.96,66,10.3
Béré,298.01,100,9.32,16.16,73,2.29
Rome,282.9,20,43.21,-75.46,62,2.6
Le Vauclin,298.86,75,14.55,-60.84,78,1.5
Rabo de Peixe,286.15,20,37.8,-25.58,82,2.6
Nobres,296.29,1,-14.72,-56.33,65,1.01
Dvinskoy Bereznik,285.06,25,62.86,42.71,64,2.33
Tegul'det,294.26,71,57.31,88.17,74,4.87
Berlevåg,285.05,86,70.86,29.09,56,3.35
Vila,281.48,100,42.03,-8.16,91,1.16
Sidi Ali,289.66,45,36.1,0.42,71,0.74
Port Augusta,287.84,1,-32.5,137.77,63,6.7
Villazón,277.86,37,-22.09,-65.59,85,5.56
Kyaikto,302.62,85,17.3,97.02,73,1.38
Nuevo Progreso,296.35,2,23.17,-97.95,58,0.89
Zeya,295.23,100,53.75,127.27,36,4.18
Fowa,297.84,100,8.92,6.4,86,1.5
Key West,299.18,75,24.56,-81.78,78,7.7
Dzhalil',282.06,0,55.02,52.74,74,3.97
Bilma,305.09,78,18.69,12.92,17,0.77
Souillac,295.15,75,-20.52,57.52,94,1.5
Srīvardhan,301.16,100,18.03,73.02,81,4.09
Kumul,303.42,100,42.8,93.45,12,2.14
Auki,303.42,61,-8.77,160.7,69,1.24
Leningradskiy,285.82,94,69.38,178.42,66,0.56
Kampong Thom,304.42,96,12.71,104.89,66,3.11
Marsaxlokk,293.32,0,35.84,14.54,77,1.5
Marzuq,300.47,100,14.4,46.47,46,0.6
Grindavik,280.15,90,63.84,-22.43,100,3.6
Suksun,281.98,0,57.14,57.39,67,2.85
Khovd,296.22,47,48.01,91.64,20,1.7
Wanning,299.55,100,18.8,110.4,85,0.97
Ciudad Guayana,297.59,90,8.35,-62.65,92,2.34
Codrington,285.05,100,-38.27,141.97,86,8.66
Sinazongwe,290.34,51,-17.26,27.46,61,1.81
Dakar,298.15,98,14.69,-17.44,88,3.1
Ayagoz,297.25,0,47.97,80.44,30,4.04
Meadow Lake,291.85,75,34.8,-106.54,46,3.1
Livingstonia,286.71,1,-10.61,34.11,71,1.54
Río Gallegos,272.15,30,-51.62,-69.22,86,2.1
Flinders,292.67,0,-34.58,150.86,46,5.36
Arman',288.41,0,59.7,150.17,56,3.09
San Patricio,299.29,1,19.22,-104.7,83,2.18
Truth or Consequences,302.8,1,33.13,-107.25,16,6.7
Puerto Peñasco,300.93,0,31.32,-113.53,71,4.47
Berkovica,286.15,0,44.62,18.43,93,1.0
Berkovica,286.15,0,44.62,18.43,93,1.0
Ahipara,288.37,74,-35.17,173.17,79,4.44
Pingliang,298.01,29,35.54,106.69,28,5.62
Interlaken,291.78,1,36.95,-121.73,49,1.74
Kaeo,288.12,96,-35.1,173.78,3,0.89
Koumac,299.06,31,-20.57,164.28,62,2.19
Mogadishu,298.72,21,2.04,45.34,79,8.06
Graaff-Reinet,280.48,100,-32.25,24.53,44,3.34
Tabou,298.72,100,4.42,-7.35,85,5.15
Mayna,284.28,69,54.11,47.62,81,5.37
Selizharovo,283.97,0,56.85,33.45,76,4.67
Castro,287.54,100,-24.79,-50.01,95,1.24
Chimbote,289.97,34,-9.09,-78.58,89,2.89
Novovarshavka,284.31,40,54.17,74.69,60,5.85
Namwala,284.42,0,-15.75,26.44,96,2.57
Mahon,289.15,2,39.89,4.27,82,2.1
Dunedin,283.1,0,-45.87,170.5,61,1.34
Muzhi,281.42,100,65.37,64.67,61,10.34
Yeniseysk,296.13,83,58.45,92.17,66,3.08
Visby,284.25,0,57.64,18.3,87,3.6
Drovyanaya,294.15,31,51.58,113.03,43,1.0
Puerto Ayacucho,295.86,89,5.66,-67.62,90,0.47
Itarema,298.12,86,-2.92,-39.92,84,3.42
Pitimbu,298.31,22,-7.47,-34.81,82,2.2
High Level,296.15,90,58.52,-117.14,56,3.1
Arrondissement de Gap,279.82,1,44.67,6.0,89,2.82
Antofagasta,288.15,90,-23.65,-70.4,77,1.5
Brae,287.15,71,60.4,-1.35,87,3.6
Klaksvík,282.15,53,62.23,-6.59,93,1.0
Jumla,294.36,0,29.27,82.18,49,1.87
Vallenar,287.98,0,-28.57,-70.76,33,0.97
Miyazu,299.15,75,35.53,135.18,88,3.6
Chicama,291.09,17,-7.84,-79.15,80,1.78
Atar,305.8,87,20.52,-13.05,28,7.63
Meulaboh,302.87,51,4.14,96.13,68,0.34
Trofors,284.42,81,65.53,13.41,93,0.5
Mendi,293.42,63,-6.18,143.65,80,1.72
Mogok,298.96,85,22.92,96.5,76,0.81
Ubari,302.48,0,26.59,12.78,13,3.9
Laranjeiras do Sul,287.25,100,-25.41,-52.42,100,1.57
Esil,286.09,17,51.96,66.4,46,6.8
Luxor,304.15,0,25.7,32.64,31,2.1
Abnūb,299.15,0,27.27,31.15,41,7.2
Atambua,301.83,0,-9.11,124.89,51,1.97
Jacareacanga,295.48,19,-6.22,-57.75,96,0.18
Āsosa,290.14,97,10.07,34.53,100,1.0
Mattru,296.92,99,7.62,-11.83,95,0.85
Paamiut,275.92,100,61.99,-49.67,96,7.2
Baracoa,299.25,100,20.35,-74.5,84,1.63
Labuhan,298.04,100,-6.88,112.21,85,0.71
Atbasar,286.03,0,51.8,68.33,48,6.55
Atbasar,286.03,0,51.8,68.33,48,6.55
Wamba,296.27,70,8.93,8.6,89,1.49
Log,293.94,0,49.48,43.86,75,11.14
Pedregulho,290.88,69,-20.26,-47.48,82,2.02
Huarmey,290.03,15,-10.07,-78.15,86,3.36
San Jose,292.12,5,37.34,-121.89,42,2.6
Stokmarknes,287.13,99,68.56,14.91,64,3.47
Vrangel',290.03,100,42.73,133.08,97,3.66
Botwood,288.71,100,49.15,-55.35,90,3.29
Kargasok,285.48,50,59.06,80.86,45,8.35
Ruteng,296.74,67,-8.61,120.47,82,0.88
Santa Helena de Goiás,293.85,11,-17.81,-50.6,58,1.43
Ōhara,294.49,75,35.25,140.38,100,1.5
Kutum,295.53,0,14.2,24.67,31,1.93
Nieuw Amsterdam,298.15,100,5.88,-55.08,93,2.19
Samaná,298.61,93,19.21,-69.34,88,2.57
Koeru,283.17,0,58.96,26.03,77,2.44
Camacha,292.15,40,33.08,-16.33,82,0.5
Hambantota,302.15,20,6.12,81.12,83,5.1
Pochutla,299.82,38,15.74,-96.47,83,1.12
Patacamaya,277.68,9,-17.23,-67.92,86,4.61
Camocim,298.73,66,-2.9,-40.84,81,3.28
Casper,301.15,1,42.87,-106.31,20,7.2
Povenets,285.59,0,62.85,34.83,68,2.77
Barra do Garças,294.97,23,-15.89,-52.26,57,0.94
Caicó,297.96,7,-6.46,-37.1,76,3.26
Half Moon Bay,289.6,1,37.46,-122.43,77,1.5
Isangel,298.15,75,-19.55,169.27,78,6.2
Laguna,294.36,1,38.42,-121.42,35,4.1
Kichera,286.39,97,55.94,110.1,75,2.48
Takoradze,298.39,93,4.88,-1.76,89,3.29
Namatanai,302.51,94,-3.67,152.43,75,4.51
Baie-Comeau,280.15,1,49.22,-68.15,93,2.1
Tigil',296.06,1,57.8,158.67,25,2.19
Kuito,281.32,0,-12.38,16.93,67,1.75
Lelydorp,298.15,20,5.7,-55.23,94,1.5
Gornopravdinsk,281.85,49,60.05,69.9,64,5.4
Kununurra,305.15,0,-15.77,128.73,18,4.6
Verkhoyansk,297.18,99,67.54,133.38,30,5.02
Ust'-Omchug,292.29,84,61.15,149.63,35,1.64
Garoowe,298.49,85,8.41,48.48,61,10.96
Morro Bay,289.1,0,35.37,-120.85,89,3.58
Puerto Carreño,297.45,100,6.19,-67.49,82,1.24
Keti Bandar,303.33,0,24.14,67.45,73,5.14
Palmerston,305.32,14,-12.49,130.98,38,4.6
Gaza,291.81,0,31.5,34.47,81,1.92
Balkhash,300.15,31,46.84,74.98,28,3.53
Saint-Augustin,282.66,85,51.23,-58.65,64,6.01
Coquimbo,284.15,0,-29.95,-71.34,81,0.5
Dahuk,295.35,0,36.87,42.99,30,1.96
Skjervøy,283.08,5,70.03,20.97,76,2.71
Skjervøy,283.08,5,70.03,20.97,76,2.71
Lompoc,287.9,0,34.64,-120.46,67,7.2
